datetime,open,high,low,close,volume
2021.07.12 14:38:00,1.1868,1.18696,1.18672,1.18673,77.35
2021.07.12 14:39:00,1.18672,1.18678,1.18658,1.18659,76.16
2021.07.12 14:40:00,1.1866,1.18676,1.18655,1.18656,102.54
2021.07.12 14:41:00,1.18657,1.18671,1.18657,1.18669,73.81
2021.07.12 14:42:00,1.18669,1.18699,1.18669,1.18697,56.07
2021.07.12 14:43:00,1.18699,1.18704,1.18689,1.18689,89.79
2021.07.12 14:44:00,1.18686,1.18696,1.18683,1.18691,69.76
2021.07.12 14:45:00,1.18692,1.18718,1.18685,1.18715,95.16
2021.07.12 14:46:00,1.18715,1.18715,1.18696,1.18713,105.73
2021.07.12 14:47:00,1.18714,1.18715,1.18694,1.18695,107.05
2021.07.12 14:48:00,1.18694,1.18695,1.18675,1.18681,112.1
2021.07.12 14:49:00,1.18682,1.18685,1.18672,1.18682,85.57
2021.07.12 14:50:00,1.18681,1.18681,1.18668,1.18675,126.57
2021.07.12 14:51:00,1.18676,1.18699,1.18676,1.18697,172.63
2021.07.12 14:52:00,1.18697,1.18702,1.18689,1.18696,218.08
2021.07.12 14:53:00,1.18697,1.18729,1.18696,1.18727,178.13
2021.07.12 14:54:00,1.18729,1.18742,1.18723,1.18733,108.85
2021.07.12 14:55:00,1.18733,1.18733,1.18715,1.18715,92.28
2021.07.12 14:56:00,1.18716,1.18716,1.18691,1.18698,161.65
2021.07.12 14:57:00,1.18698,1.18707,1.18669,1.18686,182.93
2021.07.12 14:58:00,1.18686,1.1869,1.18677,1.18679,115.09
2021.07.12 14:59:00,1.18677,1.18681,1.18669,1.18669,167.8
2021.07.12 15:00:00,1.18671,1.18678,1.18661,1.18661,87.82
2021.07.12 15:01:00,1.1866,1.18671,1.18651,1.1867,138.24
2021.07.12 15:02:00,1.18669,1.18673,1.18644,1.18649,100.15
2021.07.12 15:03:00,1.18648,1.18649,1.18635,1.18638,87.24
2021.07.12 15:04:00,1.18641,1.18644,1.18632,1.1864,68.63
2021.07.12 15:05:00,1.18639,1.18646,1.18637,1.18645,65.96
2021.07.12 15:06:00,1.18644,1.18651,1.18634,1.18646,83.31
2021.07.12 15:07:00,1.18643,1.18655,1.18641,1.18649,72.59
2021.07.12 15:08:00,1.1865,1.18655,1.18637,1.18638,57.91
2021.07.12 15:09:00,1.18637,1.18641,1.18627,1.18634,71.72
2021.07.12 15:10:00,1.18634,1.18644,1.18634,1.18642,42.61
2021.07.12 15:11:00,1.18643,1.18646,1.18639,1.1864,42.88
2021.07.12 15:12:00,1.18638,1.1864,1.18618,1.18625,54.43
2021.07.12 15:13:00,1.18626,1.18629,1.1862,1.18624,65.98
2021.07.12 15:14:00,1.18627,1.18636,1.18627,1.18634,64.68
